Player 1 Agent,Player 2 Agent,Score
CBP1,CRP3,11.852
CBP1,CRP4,11.463
CBP1,CYP0,11.128
CBP1,CYP1,9.724
CBP1,CYP2,11.633
CBP1,CYP3,12.183
CBP1,CYP4,11.295
CBP1,CGP0,10.729
CBP1,CGP1,10.123
CBP1,CGP2,12.104
CBP1,CGP3,12.254
CBP1,CGP4,11.782
CBP1,CWP0,10.626
CBP1,CWP1,10.204
CBP1,CWP2,11.210
CBP1,CWP3,11.520
CBP1,CWP4,11.307
CBP1,CBP0,8.008
CBP1,CBP1,19.474
CBP1,CBP2,5.124
CBP1,CBP3,3.593
CBP1,CBP4,2.541
CBP2,CRP0,10.689
CBP2,CRP1,11.538
CBP2,CRP2,10.812
CBP2,CRP3,12.549
CBP2,CRP4,11.182
CBP2,CYP0,10.911
CBP2,CYP1,11.753
CBP2,CYP2,10.122
CBP2,CYP3,12.312
CBP2,CYP4,11.539
CBP2,CGP0,11.697
CBP2,CGP1,12.129
CBP2,CGP2,10.831
CBP2,CGP3,12.850
CBP2,CGP4,12.594
CBP2,CWP0,11.518
CBP2,CWP1,11.229
CBP2,CWP2,10.369
CBP2,CWP3,12.322
CBP2,CWP4,11.656
CBP2,CBP0,6.470
CBP2,CBP1,4.509
CBP2,CBP2,20.131
CBP2,CBP3,2.335
CBP2,CBP4,2.037
CBP3,CRP0,11.627
CBP3,CRP1,12.119
CBP3,CRP2,12.001
CBP3,CRP3,11.085
CBP3,CRP4,12.468
CBP3,CYP0,11.666
CBP3,CYP1,12.318
CBP3,CYP2,12.765
CBP3,CYP3,11.610
CBP3,CYP4,12.258
CBP3,CGP0,11.835
CBP3,CGP1,12.126
CBP3,CGP2,13.105
CBP3,CGP3,11.674
CBP3,CGP4,12.521
CBP3,CWP0,11.223
CBP3,CWP1,12.371
CBP3,CWP2,12.401
CBP3,CWP3,11.495
CBP3,CWP4,12.067
CBP3,CBP0,4.673
CBP3,CBP1,3.689
CBP3,CBP2,2.293
CBP3,CBP3,20.216
CBP3,CBP4,1.074
CBP4,CRP0,10.675
CBP4,CRP1,10.722
CBP4,CRP2,11.735
CBP4,CRP3,11.779
CBP4,CRP4,10.927
CBP4,CYP0,10.365
CBP4,CYP1,11.198
CBP4,CYP2,11.688
CBP4,CYP3,12.081
CBP4,CYP4,11.013
CBP4,CGP0,10.733
CBP4,CGP1,11.517
CBP4,CGP2,12.164
CBP4,CGP3,12.277
CBP4,CGP4,11.019
CBP4,CWP0,10.587
CBP4,CWP1,10.847
CBP4,CWP2,11.390
CBP4,CWP3,12.072
CBP4,CWP4,10.796
CBP4,CBP0,3.584
CBP4,CBP1,2.673
CBP4,CBP2,1.672
CBP4,CBP3,1.081
CBP4,CBP4,21.674

