model,turn,index_mean,index_sem,final_score_mean,final_score_sem,final_non_zero_score_mean,final_non_zero_score_sem,bombout_score_mean,bombout_score_sem,action_is_hint_mean,action_is_hint_sem,action_is_hint_colour_mean,action_is_hint_colour_sem,action_is_hint_rank_mean,action_is_hint_rank_sem,action_is_play_mean,action_is_play_sem,action_is_discard_mean,action_is_discard_sem,action_trigger_bomb_mean,action_trigger_bomb_sem,played_card_knowledge_mean,played_card_knowledge_sem,known_unplayable_play_mean,known_unplayable_play_sem,terminal_mean,terminal_sem,terminal_bombout_mean,terminal_bombout_sem,player_caused_bombout_mean,player_caused_bombout_sem,partner_caused_bombout_mean,partner_caused_bombout_sem,partner_trigger_bomb_mean_sem,partner_trigger_bomb
sba_sad_six_1_4_6_7_10_12,25,310442.3072619083,997.412074376677,0.17692307692307693,0.0890320201391823,6.369230769230769,0.12313653893078327,6.1923076923076925,0.15563214961050198,0.14695520885757424,0.0019264664240922459,0.012877823499807572,0.0006134649053174217,0.13407738535776667,0.0018539599213093921,0.1389028686462003,0.0018817620814638107,0.19976908730276208,0.002175478717835478,0.010272654607892477,0.0005486332976846218,0.5532207239204057,0.0037368847777014013,0.01555839727195226,0.0018069439915006909,0.0038485449539654814,0.00033689456370997943,0.9692307692307692,0.015204672172361917,0.3671875,0.042773974706069945,0.6328125,0.04277397470606994,0.01740726486870541,0.0007115985877839187
sba_sad_six_1_4_6_7_10_12,26,310574.5018574103,999.8740800375153,0.029239766081871343,0.029239766081871343,6.473684210526316,0.11502704232494962,6.444444444444445,0.12080201860657314,0.155012036018901,0.0019730057188102512,0.015691402419091206,0.0006775118440115672,0.1393206335998098,0.0018877687324887064,0.14464025676840322,0.0019175176393249594,0.21424113643793277,0.0022367448617463914,0.010787839163125205,0.0005631606832008926,0.5476303887229167,0.0035495912141951256,0.015204438052188206,0.0017541720051625818,0.005081874647092038,0.0003876377087675278,0.9941520467836257,0.005847953216374269,0.42441860465116277,0.037796581784641015,0.5755813953488372,0.037796581784641015,0.016345210853220007,0.0006912529399164759
sba_sad_six_1_4_6_7_10_12,27,310816.1840014338,1002.9318599306611,0.1282051282051282,0.07372738818264198,6.5576923076923075,0.13218291479006433,6.42948717948718,0.15057435654046422,0.14493099946233348,0.0019240128062889801,0.013352052093912421,0.0006273094809556994,0.13157894736842105,0.0018475028173267976,0.13677639046538026,0.001877992952157185,0.2039548360117092,0.0022022295800377934,0.010096182567656372,0.0005463888534717427,0.5534237773597181,0.003712251582580097,0.0157239571958943,0.00183866026013653,0.004659776569687556,0.0003722160174267131,0.9807692307692307,0.011031025672652722,0.2692307692307692,0.03562760456852898,0.7307692307692307,0.03562760456852898,0.016906625246430492,0.000704616131308065
sba_sad_six_1_4_6_7_10_12,28,311019.2358201789,1005.3173937834815,0.1282051282051282,0.07428620837122304,6.910256410256411,0.12809341700448065,6.782051282051282,0.14869013744119194,0.14723005821979473,0.001941132453882784,0.01383470379929176,0.0006398833017348314,0.13339535442050296,0.0018626096374739147,0.14647980313306525,0.0019370318496085373,0.21961466898745574,0.0022679120467643246,0.010413540603805295,0.0005561181459115153,0.5541560784447079,0.0036016875339584965,0.015570579799221471,0.0017722899447742354,0.004681591741192005,0.0003739545089037881,0.9807692307692307,0.011031025672652722,0.3375796178343949,0.03786104989411254,0.6624203821656051,0.03786104989411254,0.016655662925394634,0.0007010915920354934
sba_sad_six_1_4_6_7_10_12,29,311257.0521015498,1007.9587534779207,0.08695652173913043,0.06192518549373674,7.273291925465839,0.1252288518860618,7.186335403726708,0.14020973889410485,0.1407465476692999,0.0019095872994203318,0.011095700416088766,0.0005751941930055247,0.12965084725321113,0.001844566998027897,0.14020382319242597,0.0019065038307766989,0.20490864137972623,0.002216402609339961,0.011065549056262437,0.0005744209042639492,0.5542749123407468,0.0037883266394613223,0.014623655913978495,0.001760553685571111,0.0048543689320388345,0.00038165390411612244,0.9875776397515528,0.008756442347746389,0.4,0.03885143449429056,0.60625,0.03874695666685831,0.01495507447385877,0.0006664726135788951
sba_sad_six_1_4_6_7_10_12,30,311510.5603393425,1011.0504872863369,0.21787709497206703,0.08866858334814799,7.240223463687151,0.12929828419325198,7.022346368715084,0.1613909369833571,0.1463717618542645,0.0019457173322546624,0.014482654143311619,0.0006576168413901022,0.13188910771095289,0.0018625535953613037,0.1468262384487199,0.0019482168378190208,0.22051204362975307,0.002282115247162744,0.010786244508407816,0.0005685869852477553,0.5573851303637545,0.003702243414464628,0.017746595130004126,0.0018968037583491526,0.005423420693834268,0.0004042708911038366,0.9664804469273743,0.013490736029603179,0.37142857142857144,0.03663028925010779,0.6285714285714286,0.03663028925010779,0.015967277685199212,0.000689980663656556
sba_sad_six_1_4_6_7_10_12,31,311717.73962712486,1014.3685756255228,0.05232558139534884,0.05232558139534885,7.738372093023256,0.13183918328692573,7.686046511627907,0.1390950272868729,0.14314872357277766,0.0019330544910227201,0.01157618960580028,0.0005904077473658392,0.1315725339669774,0.001865722406923101,0.14150368610247974,0.0019237592745163365,0.2008164260037775,0.002211161805157272,0.011210625723511851,0.0005811181698447078,0.556412461845142,0.0038008922177900422,0.015285252960172227,0.001800302276401375,0.005239748979467496,0.00039848509821428357,0.9941860465116279,0.005813953488372092,0.4011627906976744,0.03748147347872576,0.5988372093023255,0.03748147347872577,0.01593249253640407,0.0006911175804940729
sba_sad_six_1_4_6_7_10_12,32,311968.2743002389,1017.1883816816314,0.04918032786885246,0.049180327868852444,7.830601092896175,0.14903245206075957,7.781420765027322,0.1549108865506416,0.1492007104795737,0.001971684674293086,0.01402584675690574,0.0006507823499240264,0.13517486372266796,0.001892128285410278,0.14586268144790837,0.0019533245165707226,0.21902370306853677,0.0022887741564854205,0.012065903105285722,0.0006042022801133239,0.564899936022752,0.0036909182051699787,0.015536426621876969,0.0017921761734629393,0.005604213878850983,0.0004131192613969656,0.994535519125683,0.005464480874316939,0.391304347826087,0.03607712255122955,0.6086956521739131,0.036077122551229544,0.015618300973847001,0.0006861785141734163
sba_sad_six_1_4_6_7_10_12,33,312291.15429152164,1020.4499045501979,0.06134969325153374,0.061349693251533756,8.208588957055214,0.1415268199788074,8.14723926380368,0.14978919996394693,0.14200363401188754,0.0019370967352212239,0.012657448184533892,0.0006203915329386509,0.12934618582735363,0.0018623376466942612,0.14163407348095222,0.0019349910627703352,0.20159526962520402,0.0022264378424458418,0.011025222506236334,0.0005794889312693025,0.5648029784048852,0.0038544675652384757,0.01913459447706023,0.0020203650940773996,0.005019863878537772,0.00039220401146408825,0.9938650306748467,0.0061349693251533735,0.3674698795180723,0.037532674021205775,0.6325301204819277,0.037532674021205775,0.01561393243201626,0.0006880147242128954
sba_sad_six_1_4_6_7_10_12,34,312472.00188807724,1023.6180949548756,0.14634146341463414,0.08703295113460185,8.268292682926829,0.13290613294631146,8.121951219512194,0.15707669311816932,0.14838430110189427,0.001977732231004176,0.014918905534233006,0.0006744599380253543,0.13346539556766127,0.001892034183055571,0.14922000742850067,0.0019823203845235338,0.21660269902191406,0.0022917891108696644,0.011142751021418843,0.0005840024891996491,0.55697308936568,0.0036947662764064025,0.013482679941920763,0.0016611809829119978,0.005076142131979695,0.00039537890443329035,0.9817073170731707,0.010496292269168301,0.3090909090909091,0.036085410115739645,0.6909090909090909,0.03608541011573963,0.013897486690602947,0.000651299658424716
