model,turn,index_mean,index_sem,final_score_mean,final_score_sem,final_non_zero_score_mean,final_non_zero_score_sem,bombout_score_mean,bombout_score_sem,action_is_hint_mean,action_is_hint_sem,action_is_hint_colour_mean,action_is_hint_colour_sem,action_is_hint_rank_mean,action_is_hint_rank_sem,action_is_play_mean,action_is_play_sem,action_is_discard_mean,action_is_discard_sem,action_is_INVALID_mean,action_is_INVALID_sem,action_trigger_bomb_mean,action_trigger_bomb_sem,played_card_knowledge_mean,played_card_knowledge_sem,known_unplayable_play_mean,known_unplayable_play_sem,terminal_mean,terminal_sem,terminal_bombout_mean,terminal_bombout_sem,player_caused_bombout_mean,player_caused_bombout_sem,partner_caused_bombout_mean,partner_caused_bombout_sem,partner_trigger_bomb_mean,partner_trigger_bomb_sem
br_sad_six_2_3_5_6_12_13,49,288411.03217249934,1604.6194533360174,0.0,0.0,13.508474576271187,0.2596730414588887,13.508474576271187,0.2596730414588887,0.33430307178916746,0.004363907325485946,0.06443056387439035,0.00227117729479669,0.2698725079147771,0.0041062532655819755,0.3348164627363737,0.004365572520438334,0.3308804654744588,0.004352657325718161,0.0,0.0,0.021391289466929066,0.001338412795329841,0.6224965909293644,0.00435529741569344,0.02095578839764886,0.0022900962269301354,0.00504834431419526,0.0006556054155383097,1.0,0.0,0.9365079365079365,0.030968459856707504,0.06349206349206349,0.0309684598567075,0.0015401728416188929,0.00036275807402002093
br_sad_six_2_3_5_6_12_13,50,291583.2192760943,1596.8277539588776,0.0,0.0,13.964285714285714,0.27646570159250555,13.964285714285714,0.27646570159250555,0.34234006734006733,0.004353510703468107,0.06439393939393939,0.002252055397079191,0.27794612794612794,0.004110315640354834,0.3501683501683502,0.0043767217141492095,0.3074915824915825,0.004233886416810711,0.0,0.0,0.02239057239057239,0.00135745470566624,0.6287394580296957,0.004111325327452491,0.015865384615384615,0.0019375730988632296,0.007070707070707071,0.000768777462678524,1.0,0.0,0.8842105263157894,0.03300262263404133,0.11578947368421053,0.03300262263404132,0.0021043771043771043,0.0004204500434357725
br_sad_six_2_3_5_6_12_13,51,289091.7532501527,1623.9611624341082,0.0,0.0,14.0,0.338501600193165,14.0,0.338501600193165,0.33609632667306516,0.0044125750997958445,0.06282174330337667,0.0022665942628764587,0.2732745833696885,0.00416286652662353,0.3559026262978798,0.004472486637997229,0.30800104702905506,0.0043125734640585885,0.0,0.0,0.02477968763633191,0.0014521349365957084,0.6410833031056002,0.004286632045156577,0.02157391517528806,0.0022751230158925976,0.0055841549603001485,0.0006960980862610468,1.0,0.0,0.8767123287671232,0.03874557705131767,0.1232876712328767,0.03874557705131767,0.0022685629526219353,0.0004444162568079359
br_sad_six_2_3_5_6_12_13,52,292491.54366172926,1616.954719885108,0.0,0.0,14.012195121951219,0.26458873249242215,14.012195121951219,0.26458873249242215,0.3492938339648639,0.004424387005221625,0.06631071305545987,0.0023091823234960653,0.2829831209094041,0.0041803259217191744,0.3620392697209783,0.004460052807397549,0.28866689631415776,0.004205331041805699,0.0,0.0,0.0256631071305546,0.001467487394974998,0.6419704016182859,0.004156321552345213,0.019029495718363463,0.002107472515205812,0.007061660351360661,0.0007771050659739447,1.0,0.0,0.9534883720930233,0.022841730741167503,0.046511627906976744,0.022841730741167496,0.0012917671374440235,0.0003333317009112242
br_sad_six_2_3_5_6_12_13,53,290046.07426536066,1643.1424023688294,0.0,0.0,14.375,0.34794135233331613,14.375,0.34794135233331613,0.3437221727515583,0.004482054149187775,0.06687444345503117,0.002357379982865479,0.2768477292965272,0.0042224529507777905,0.36812110418521815,0.004551365806079062,0.2881567230632235,0.004274014894023744,0.0,0.0,0.02653606411398041,0.0015167277978240102,0.6499438921974573,0.004247126748288322,0.023463957426221576,0.002354572497257113,0.006411398040961709,0.0007531979504501443,1.0,0.0,0.8888888888888888,0.035136418446315335,0.1111111111111111,0.03513641844631533,0.002226179875333927,0.00044475991401103583
br_sad_six_2_3_5_6_12_13,54,293300.9677561061,1634.999896318448,0.0,0.0,15.066666666666666,0.3228997743329409,15.066666666666666,0.3228997743329409,0.35652785099279566,0.004489742113094301,0.07362502196450536,0.0024480253739947826,0.2829028290282903,0.004221992311762292,0.37093656650852225,0.004528004321791149,0.27253558249868215,0.004173758073961445,0.0,0.0,0.02407309787383588,0.0014367606466152592,0.6633003120566928,0.00421345888205324,0.020843202273803884,0.0021988756357072736,0.006589351607801793,0.0007583951287784889,1.0,0.0,0.9259259259259259,0.029280348705262773,0.07407407407407407,0.029280348705262766,0.0015814443858724301,0.0003724715207727087
br_sad_six_2_3_5_6_12_13,55,290735.3162828798,1666.1940631649602,0.0,0.0,15.6,0.3596639793666168,15.6,0.3596639793666168,0.3591517247656321,0.004577167343714159,0.07736415764084828,0.0025489731703087336,0.2817875671247838,0.004292077703830412,0.3881860380449622,0.004649538518938915,0.25266223718940567,0.004145804657454209,0.0,0.0,0.0261217802857923,0.0015217170804035858,0.6663257867412299,0.004282194477744135,0.023446658851113716,0.0023172872353881793,0.006371165923363975,0.0007591048274770333,1.0,0.0,0.875,0.037208784861724194,0.125,0.037208784861724194,0.0024574497132975335,0.00047237644919941876
br_sad_six_2_3_5_6_12_13,56,294017.23920265783,1658.114537405064,0.0,0.0,15.924528301886792,0.3711757655265284,15.924528301886792,0.3711757655265284,0.3649995510460627,0.004562139597462801,0.08682769147885427,0.002668338255797337,0.2781718595672084,0.0042462825623302055,0.39148783334829845,0.004625185512827232,0.24351261560563886,0.0040672134642005895,0.0,0.0,0.02280686001616234,0.0014146804181077977,0.6789357513710514,0.004171476971187305,0.019036697247706423,0.0020698017392116103,0.004758911735655922,0.0006521588055421816,1.0,0.0,0.7910447761194029,0.05004436490749022,0.208955223880597,0.05004436490749022,0.0027835144114213882,0.0004992600900101108
br_sad_six_2_3_5_6_12_13,57,291988.5452345495,1687.606354653774,0.0,0.0,15.73134328358209,0.34788375499410845,15.73134328358209,0.34788375499410845,0.3642963514519732,0.004642928278593499,0.07939314966492926,0.0026083497745016367,0.2849032017870439,0.004354800798354359,0.39947877885331345,0.004725505233450028,0.23622486969471332,0.0040981021327241495,0.0,0.0,0.02513030528667163,0.0015101127672927169,0.6869607200604783,0.004276896500238622,0.022600186393289843,0.0022688870647887874,0.006236038719285183,0.0007595095433116901,1.0,0.0,0.8933333333333333,0.03588436550487814,0.10666666666666667,0.035884365504878134,0.0022338049143708115,0.0004554851537725565
br_sad_six_2_3_5_6_12_13,58,295063.64945427864,1678.650099019784,0.0,0.0,16.53731343283582,0.27427661380708596,16.53731343283582,0.27427661380708596,0.38218838851692194,0.004653864008643618,0.09052554342841419,0.0027480696417916503,0.29166284508850776,0.004353188532796585,0.4075025222415849,0.004706036754072943,0.21030908924149316,0.003903053480853142,0.0,0.0,0.027240209116756856,0.0015590316614879716,0.6954397236055924,0.0042212734983050355,0.023407607472428538,0.0022685371950098175,0.006145097679537742,0.0007484672440244851,1.0,0.0,0.9054054054054054,0.034252578598678016,0.0945945945945946,0.034252578598678016,0.0017426396404659269,0.00039945877523496444
br_sad_six_2_3_5_6_12_13,59,292826.65857605176,1710.393236793093,1.2195121951219512,0.8514780514493256,16.51219512195122,0.5632245482319752,15.292682926829269,0.724353288044756,0.3887302493813059,0.0047560081754148015,0.0909956215495907,0.002806048719349599,0.2977346278317152,0.004461360037719605,0.4059584999048163,0.004791275947304861,0.2053112507138778,0.003941004023398093,0.0,0.0,0.02845992766038454,0.0016223674587317913,0.7077238889627272,0.004384158466999109,0.025087924970691677,0.002395005404827919,0.003902531886541024,0.0006083116303669912,0.9512195121951219,0.034059122057973026,0.8297872340425532,0.055411578656325386,0.1702127659574468,0.055411578656325386,0.0019988577955454027,0.000435771115187608
br_sad_six_2_3_5_6_12_13,60,296262.93325834273,1700.4031338191078,2.5,0.9764168323561788,17.5,0.49716711601124414,15.0,0.7516460280028288,0.4078552680914886,0.004758234324406221,0.09551931008623922,0.00284592919331549,0.3123359580052493,0.004487226617103907,0.4041994750656168,0.004751460965737209,0.18794525684289465,0.003782571892778995,0.0,0.0,0.02962129733783277,0.0016415401837089126,0.7122786063113438,0.004403074229434844,0.025974025974025976,0.002422511754047523,0.00562429696287964,0.0007240827914457129,0.9,0.03905667329424716,0.9,0.03905667329424715,0.1,0.03905667329424715,0.0012185976752905887,0.0003377880245175767
br_sad_six_2_3_5_6_12_13,61,293838.44988842536,1730.1985270036887,2.464788732394366,0.8907824394840507,18.070422535211268,0.4527243460049198,15.605633802816902,0.7144608281392669,0.427573493742117,0.004873266769978782,0.1129329581837586,0.0031177659158751715,0.3146405355583584,0.004574266617979819,0.3890559813718832,0.00480243712721189,0.1833705248859998,0.003811818562045493,0.0,0.0,0.026874939361598914,0.0015929898401093967,0.7292409387145405,0.004613944006373593,0.02543640897755611,0.002486651721934885,0.006888522363442321,0.0008147361150887058,0.9014084507042254,0.03563129757936202,0.9142857142857143,0.03370101854969077,0.08571428571428572,0.03370101854969077,0.0018434073930338605,0.000422537183540803
br_sad_six_2_3_5_6_12_13,62,296814.6181992337,1722.8074340551436,9.783132530120483,1.3317091897558748,20.542168674698797,0.4571890262315106,10.759036144578314,1.0014081125539467,0.43754789272030653,0.004855412405648232,0.10699233716475096,0.0030253420320105915,0.33055555555555555,0.004604156236026661,0.38333333333333336,0.004758653477482427,0.17911877394636017,0.003753023352772521,0.0,0.0,0.02825670498084291,0.001621836560021687,0.7272308700471773,0.004724927658514579,0.02923538230884558,0.0026633428869921876,0.007950191570881227,0.0008692127474625121,0.6024096385542169,0.054045178247868114,0.7936507936507936,0.051394930619264534,0.20634920634920634,0.05139493061926454,0.002586206896551724,0.0004970955425193047
br_sad_six_2_3_5_6_12_13,63,294928.1258971292,1758.8018820261123,16.633136094674555,0.8617292444330237,21.911242603550296,0.30002281301523326,5.27810650887574,0.6265563601399088,0.4504585326953748,0.0049677019142228855,0.11333732057416268,0.003165144703932669,0.3371212121212121,0.004719956385628873,0.37470095693779903,0.004832970763508382,0.17484051036682616,0.003792432562544902,0.0,0.0,0.026614832535885168,0.0016070600896943277,0.7449598447455628,0.004933505715327159,0.03272146847565842,0.002902109396736561,0.01684609250398724,0.0012849559217338795,0.3076923076923077,0.03560846537586736,0.7761194029850746,0.05130982469793496,0.22388059701492538,0.05130982469793497,0.0029904306220095694,0.0005451856470617951
br_sad_six_2_3_5_6_12_13,64,297412.8898153663,1756.0207077590817,20.43073593073593,0.36870367068188775,22.66883116883117,0.12819855119307377,2.238095238095238,0.2808373560429579,0.42733770101250745,0.004928962157951428,0.10442723843557673,0.0030470383325207247,0.32291046257693073,0.004658913990690113,0.39348818741314273,0.004867501169410901,0.17917411157434981,0.0038210589297696584,0.0,0.0,0.027794322017073655,0.0016378634898384142,0.7484972283571176,0.0048585034922036165,0.035317860746720484,0.0029320898709975316,0.04586063132817153,0.0020842341396799763,0.12554112554112554,0.0154316456089984,0.8787878787878788,0.04048166591345903,0.12121212121212122,0.04048166591345904,0.0019853087155052612,0.00044350965103797323
br_sad_six_2_3_5_6_12_13,65,295818.15039463725,1837.6705075939965,22.038532110091744,0.1480913739791447,22.80183486238532,0.06433612070254312,0.763302752293578,0.11446664378388163,0.38350091901827227,0.005056214744258131,0.0950373013298735,0.003049569086600576,0.28846361768839873,0.004711076625036788,0.4164774570223808,0.005126260339738684,0.20002162395934694,0.004159620289192377,0.0,0.0,0.030597902475943344,0.0017909105508686891,0.7592907008441283,0.005063634406823838,0.043094496365524405,0.003272341888557482,0.11785057844091253,0.003352841516869893,0.04036697247706422,0.005964193741668224,0.8301886792452831,0.05206789873629056,0.16981132075471697,0.052067898736290565,0.0022705157314304248,0.000494931106682096
br_sad_six_2_3_5_6_12_13,66,296393.95377896394,1940.909517814504,22.08639108221087,0.07845964088683384,22.44170924291686,0.04393360861583832,0.35531816070599165,0.055386319191415546,0.3159044037365037,0.005120589157662517,0.08237292247967973,0.0030283707462244085,0.23353148125682396,0.0046601894543985955,0.4550527720490113,0.005485191583219811,0.22904282421448502,0.004628680109357387,0.0,0.0,0.03687977678029843,0.0020759557297337404,0.7480340714086472,0.005303063228954472,0.04772060783790989,0.0034811243940424488,0.2611913138420478,0.0048387040071447935,0.019507663725034836,0.002981285710783901,0.7407407407407407,0.06019526336088896,0.25925925925925924,0.06019526336088897,0.003396821545553803,0.0006408866050189974
